Feed,Feed_status,Spec_status,Content_Updated_At,Error
http://feeds.ricostruzionetrasparente.it/albi_pretori/Accumoli_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Acquasanta%20Terme_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlbopopAgira,ATTIVO,"Non Rilevato","2019-05-20  -58 gg.",
https://script.google.com/macros/s/AKfycbyJ9bY6uFVX1pccFp-3B9-_B27DPpss4nQPmVRh/exec,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://opendata.matteofortini.it/rssAlboPOP/alboPOPAlghero.xml,ATTIVO,"Non Rilevato","2017-08-02  -713 gg.",
http://feeds.feedburner.com/AlboPopAltavillaMilicia,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopAltopascio,ATTIVO,"Non Rilevato","2019-07-16  -1 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Amandola_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Amatrice_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/AlboPopComuneAndria,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Antrodoco_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043002.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Appignano%20del%20Tronto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbzdr9vAkwSGppYEFlypjjqogtL2Ryxg74ne_qWKlA/exec,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Arquata%20del%20Tronto_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/055005.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/044007.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/BagheriaAlboPretorio,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
https://script.google.com/macros/s/AKfycbzDyOP18Jwt0k6VSHskxHsFKdv9V47yYzQT8LWwgicwVeWGerE/exec,ATTIVO,"Non Rilevato","1970-01-01  -18094 gg.",
http://www.semplicepa.it/rssfeed/066008.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://feeds.feedburner.com/Albopopbari,ATTIVO,"Non Rilevato","2019-07-16  -0 gg.",
http://feeds.feedburner.com/AlboPopBarletta,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
http://www.semplicepa.it/rssfeed/043004.xml,ATTIVO,"Non Rilevato","2019-05-30  -48 gg.",
http://feeds.ricostruzionetrasparente.it/albi_pretori/Belmonte%20Piceno_feed.xml,ATTIVO,"Non Rilevato","2019-07-17  -0 gg.",
